"Airline","Comments","Country","ICAO","Call sign"
"SkyBahamas","","Bahamas","SBM","SKY BAHAMAS"
"Stabo Air","","Zambia","SBO","STABAIR"
"SmithKline Beecham Clinical Labs","","United States","SBQ","SKIBBLE"
"Saber Aviation","","United States","SBR","FREIGHTER"
"Seaborne Airlines","","United States","SBS","SEABORNE"
"St Barth Commuter","","France","SBU","BLACK FIN"
"Star Air","","Pakistan","URJ","STARAV"
"Scibe Airlift","","Democratic Republic of the Congo","SBZ","SCIBE AIRLIFT"
"Spanish Air Force","","Spain","AME","AIRMIL"
"South Central Air","","United States","SCA","SOUTH CENTRAL"
"Seacoast Airlines","","United States","SCC","SEA-COASTER"
"SeaPort Airlines","Former airline: Wings of Alaska now part of SeaPort Airlines. Alternative callsign: WINGS (for VFR flights only). Former ICAO code: WAK.","United States","SQH","SASQUATCH"
"Scenic Airlines","","United States","SCE","SCENIC"
"Socofer","","Angola","SCF","SOCOFER"
"Servicios Aéreos San Cristóbal","","Mexico","SCI","SAN CRISTOBAL"
"Sky Cam","","France","SCK","SKYCAM"
"Switfair Cargo","","Canada","SCL","SWIFTAIR"
"Saigon Capital Aircraft Management","","Netherlands","SCB","SAIGON"
"South American Airlines","","Peru","SCN","SOUTH AMERICAN"
"Servicios Aéreos de Chihuahua Aerochisa","","Mexico","AHI","AEROCHISA"
"Servicios Aéreos de los Andes","2014","Peru","AND","SERVI ANDES"
"SriLankan Airlines","","Sri Lanka","ALK","SRILANKAN"
"Sunbird Airlines","","United States","CDL","CAROLINA"
"Scorpio Aviation","","Egypt","SCP","SCORPIO"
"Scandinavian Aviation Academy","","Sweden and San Diego","SCQ","SCAVAC"
"Si-Chang Flying Service","","Thailand","SCR","SICHART"
"South African Non Scheduled Airways","","South Africa","SCS","SOUTHERN CHARTERS"
"SAAB-Aircraft","","Sweden","SCT","SAAB-CRAFT"
"Servicios Aéreos Del Centro","","Mexico","SCV","SACSA"
"Sun Country Airlines","","United States","SCX","SUN COUNTRY"
"St. Andrews Airways","","Canada","SDA","SAINT ANDREWS"
"Sukhoi Design Bureau Company","","Russia","SDB","SU-CRAFT"
"Sunrise Airlines","","United States","SDC","SUNDANCE"
"Skymaster Air Taxi","","United States","SDD","SKY DANCE"
"Q Jets Aviation Ltd.","","Canada","SDE","STAMPEDE"
"Sundorph Aeronautical Corporation","","United States","SDF","SUNDORPH"
"Servicio De Helicopteros","","Spain","SDH","ARCOS"
"SADELCA - Sociedad Aérea Del Caquetá","","Colombia","SDK","SADELCA"
"Skydrift","","United Kingdom","SDL","SKYDRIFT"
"Spirit of Africa Airlines","","Sudan","SDN","BLUE NILE"
"Sud Airlines","","France","SDU","SUD LINES"
"Servicios Aéreos Del Vaupes","","Colombia","SDV","SELVA"
"Servicio Tecnico Aero De Mexico","","Mexico","SDX","SERVICIO TECNICO"
"Sudan Pezetel for Aviation","","Sudan","SDZ","SUDANA"
"Southeast Air","","United States","SEA","SOUTHEAST AIR"
"Servicios Aéreos Luce","","Mexico","SEB","SERVILUCE"
"Sedona Air Center","","United States","SED","SEDONA AIR"
"Shaheen Air Cargo","","Pakistan","SEE","SHAHEEN CARGO"
"Sky Express","","Greece","SEH","AIR CRETE"
"Spicejet","","India","SEJ","SPICEJET"
"Skyjet","","Kazakhstan","SEK","SKALA"
"Sentel Corporation","","United States","SEL","SENTEL"
"Selcon Airlines","","Nigeria","SEO","SELCON AIR"
"Sky Eyes","","Thailand","SEQ","SKY EYES"
"Servicio Aéreo Saltillo","","Mexico","SES","SERVISAL"
"SAETA","","Ecuador","SET","SAETA"
"Serair Transworld Press","","Spain","SEV","CARGOPRESS"
"SEFA","","France","SFA","SEFA"
"Shuswap Flight Centre","","Canada","SFC","SHUSWAP"
"Sefofane Air Charters","Rebranded ""Wilderness Air""","Botswana","SFE","SEFOFANE"
"Safewings Aviation Company","","United States","SFF","SWIFTWING"
"Sun Freight Logistics","","Thailand","SFG","AERO GULF"
"Star Flyer","","Japan","SFJ","STARFLYER"
"Southflight Aviation","","New Zealand","SFL","SOUTHFLIGHT"
"Safiran Airlines","","Iran","SFN","SAFIRAN"
"Safe Air","","Pakistan","SFP","SAFE AIR"
"Safair","","South Africa","SFR","CARGO"
"Southern Frontier Air Transport","","Canada","SFS","SOUTHERN FRONTIER"
"Skyfreight","","United States","SFT","SKYFREIGHT"
"Solent Flight","","United Kingdom","SFU","SAINTS"
"S.K. Logistics","","United States","SFX","SWAMP FOX"
"Sky King, Inc.","","United States","SGB","SONGBIRD"
"Southern Right Air Charter","","South Africa","SGC","SOUTHERNRIGHT"
"Sky Gate International Aviation","","Kyrgyzstan","SGD","AIR BISHKEK"
"STAC Swiss Government Flights","","Switzerland","SGF","STAC"
"Servisair","","United Kingdom","SGH","SERVISAIR"
"Servicios Aéreos Agrícolas","","Chile","SGI","SERAGRI"
"Skyward Aviation","","Canada","SGK","SKYWARD"
"Sky Aircraft Service","","Netherlands","SGM","SIGMA"
"Siam GA","","Thailand","SGN","SIAM"
"Sagolair Transportes Ejecutivos","","Spain","SGP","SAGOLAIR"
"Saskatchewan Government Executive Air Service","","Canada","SGS","SASKATCHEWAN"
"Skygate","","Netherlands","SGT","SKYGATE"
"Samgau","","Kazakhstan","SGU","RAUSHAN"
"Saga Airlines","","Turkey","SGX",""
"Skagway Air Service","","United States","SGY","SKAGWAY AIR"
"Shabair","","Democratic Republic of the Congo","SHB","SHABAIR"
"Sky Harbor Air Service","","United States","SHC","SKY HARBOR CHEYENNE"
"Sahara Airlines","","Algeria","SHD",""
"Shell Aircraft","","United Kingdom","SHE","SHELL"
"Shoprite Group","","United Kingdom","SHG","SHOP AIR"
"Seoul Air International","","Republic of Korea","SHI","SEOUL AIR"
"Sharjah Ruler's Flight","","United Arab Emirates","SHJ","SHARJAH"
"Shorouk Air","","Egypt","SHK",""
"Samson Aviation","","United Kingdom","SHL","SAMSON"
"Sheltam Aviation","","South Africa","SHM","SHELTAM"
"Shaheen Airport Services","","Pakistan","SHN","SUGAR ALFA"
"Sheremetyevo-Cargo","","Russia","SHO",""
"Service Aerien Francais","","France","SHP","SAF"
"Shanghai Airlines Cargo","","China","SHQ","SHANGHAI CARGO"
"Shooter Air Courier","","Canada","SHR","SHOOTER"
"Shura Air Transport Services","","Ethiopia","SHS","SHURA AIR"
"Sakhalinskie Aviatrassy (SAT)","","Russia","SHU","SATAIR"
"SATA Air Acores","","Portugal","SAT","SATA"
"Scorpio Aviation","","","",""
"Shavano Air","","United States","SHV","SHAVANO"
"Shawnee Airline","Air South","United States","SHW","SHAWNEE"
"Slim Aviation Services","","Nigeria","SHX","SLIM AIR"
"Sky Airlines","","Turkey","SHY","ANTALYA BIRD"
"Singapore Airlines","","Singapore","SIA","SINGAPORE"
"Sibaviatrans","","Russia","SIB","SIBAVIA"
"Sierra Express","","United States","SIE","SEREX"
"Skynet Airlines","","Ireland","SIH","BLUEJET"
"Seco International","","Japan","SIJ",""
"Servicios Aeronáuticos Integrales","","Mexico","SIL","SERVICIOS INTEGRALES"
"Star Air","","Sierra Leone","SIM",""
"Sirio","","Italy","SIO","SIRIO"
"Salair","","United States","SIR","SALAIR"
"Saber Airlines","","Egypt","SIS",""
"SITA","","Belgium","SIT",""
"Slovenian Armed Forces","","Slovenia","SIV","SLOVENIAN"
"Sirio Executive","","Italy","SIW","SIRIO EXECUTIVE"
"Servicios Aéreos Especiales De Jalisco","","Mexico","SJA","SERVICIOJAL"
"Servicios Ejecutivos Continental","","Mexico","SJC","SERVIEJECUTIVO"
"Sunair 2001","","South Africa","SJE","SUNBIZ"
"Spirit Aviation","","United States","SJJ","SPIRIT JET"
"Servicios Especiales Del Pacifico Jalisco","","Mexico","SJL","SERVICIOS JALISCO"
"Swiss Jet","","Switzerland","SJT","SWISS JET"
"Sriwijaya Air","","Indonesia","SJY","SRIWIJAYA"
"Sama Airlines","","Saudi Arabia","SMY","NAJIM"
"Southern Jersey Airways, Inc.","","United States","ALC","ACOM"
"SPASA","","Spain","SPS","SALDUERO"
"Speed Aviation","","Bangladesh","SPT","SPEED AVIATION"
"Southeast Airmotive","","United States","SPU","SPUTTER"
"Servicios Privados De Aviación","","Mexico","SPV","SERVICIOS PRIVADOS"
"Speedwings","","Switzerland","SPW","SPEEDWING"
"Service People Gesellschaft für Charter und Service","","Germany","SPX",""
"Slovak National Aeroclub","","Slovakia","SQA","SLOVAK AEROCLUB"
"Singapore Airlines Cargo","","Singapore","SQC","SINGCARGO"
"Slovak Air Force","","Slovakia","SQF","SLOVAK AIRFORCE"
"Servicos De Alquiler","","Mexico","SQL","ALQUILER"
"Sair Aviation","","Canada","SRA","SAIR"
"Searca","","Colombia","SRC","SEARCA"
"Siem Reap Airways","","Cambodia","SRH","SIEMREAP AIR"
"Sky Work Airlines","","Switzerland","SRK","SKYFOX"
"Swedline Express","Ceased operations 2006","Sweden","SRL","Starline"
"Servicios Aeronáuticos Aero Personal","","Mexico","SRL","SERVICIOS PERSONAL"
"Sirair","","Russia","SRN","SIRAIR"
"Servicios Aéreos Ejecutivos Saereo","","Ecuador","SRO","SAEREO"
"South East Asian Airlines","Rebranded to Tiger Airways Philippines","Philippines","SRQ","SEAIR"
"Star Air","","Denmark","SRR","WHITESTAR"
"Selkirk Remote Sensing","","Canada","SRS","PHOTO CHARLIE"
"Star Up","","Peru","SRU","STAR-UP"
"Sarit Airlines","","Sudan","SRW","SARIA"
"Sierra Expressway Airlines","","United States","SRX","SIERRA EX"
"Strato Air Services","","South Africa","SRZ","STRATO"
"Sasair","","Canada","SSB","SASIR"
"Southern Seaplane","","United States","SSC","SOUTHERN SKIES"
"Star Service International","","France","SSD","STAR SERVICE"
"Servicios Aéreos Sunset","","Mexico","SSE","SUNSET"
"Severstal Air Company","","Russia","SSF","SEVERSTAL"
"Slovak Government Flying Service","","Slovakia","SSG","SLOVAK GOVERNMENT"
"SwedJet Airways","","Sweden","BBB","BLACKBIRD"
"Skystar International","","United States","SSK","SKYSTAR"
"Special Scope Limited","","United Kingdom","SSO","DOPE"
"Starspeed","","United Kingdom","SSP","STARSPEED"
"Sunstate Airlines","Uses IATA of parent QANTAS.","Australia","SSQ","SUNSTATE"
"SAESA","","Spain","SSS","SAESA"
"Sunwest Airlines","","Canada","SST","SUNFLIGHT"
"SASCA","","Venezuela","SSU","SASCA"
"Skyservice Airlines","defunct","Canada","SSV","SKYTOUR"
"Streamline Aviation","","United Kingdom","SSW","STREAMLINE"
"Sky Aviation","","Sierra Leone","SSY","SIERRA SKY"
"Specsavers Aviation","","United Kingdom","SSZ","SPECSAVERS"
"Star Aviation","","United Kingdom","STA","STAR"
"Status-Alpha Airline","","Ukraine","STB","STATUS-ALPHA"
"Stadium City Limited","","United Kingdom","STC","STADIUM"
"Servicios De Aerotransportacion De Aguascalientes","","Mexico","STD","AERO AGUASCALINETES"
"Semitool Europe","","United Kingdom","STE","SEMITRANS"
"SFT-Sudanese Flight","","Sudan","STF",""
"Sedalia, Marshall, Boonville Stage Line","","United States","STG","STAGE"
"South-Airlines","","Armenia","STH",""
"Sontair","","Canada","STI","SONTAIR"
"Sella Aviation","","Netherlands","STJ","STELLAVIA"
"Stobart Air","","Ireland","STK","STOBART"
"Stapleford Flight Centre","","United Kingdom","STL","STAPLEFORD"
"Streamline Ops","","Russia","STO","SLOPS"
"Star Air","","Indonesia","STQ","STERA"
"Servicios de Transportes Aéreos Fueguinos","ICAO and call sign not current","Argentina","STU","FUEGUINO"
"Star African Air","","Somali Republic","STU","STARSOM"
"Star West Aviation","","United States","SUU","SUNSTAR"
"Southern Aviation","","Ghana","STV","SOUTHERN AVIATION"
"South West Air Corporation","","Philippines","STW","SIERRA WHISKEY"
"Stars Away Aviation","","South Africa","STX","STARSAWAY"
"Styrian Airways","","Austria","STY","STYRIAN"
"Silesia Air","","Czech Republic","SUA","AIR SILESIA"
"Suburban Air Freight","","United States","SUB","SUB AIR"
"Sudan Airways","","Sudan","SUD","SUDANAIR"
"Sun Air (Fiji)","","Fiji","SUF","SUNFLOWER"
"Sun Air International","","United States","FDY","FRIENDLY"
"Sunu Air","","Senegal","SUG","SUNU AIR"
"Sun Light","","Kyrgyzstan","SUH","LIGHT AIR"
"Swiss Air Force","","Switzerland","SUI","SWISS AIR FORCE"
"Superior Aviation Services","","Kenya","SUK","SKYCARGO"
"State Unitary Air Enterprise","","Russia","SUM","SUMES"
"Sun Air","","Egypt","SUR",""
"Sun Air of Scandinavia","","Denmark","SUS","SUNSCAN"
"Surf Air","","United States","URF","SURF AIR"
"Sistemas Aeronauuticos 2000","","Mexico","SUT","SISTEMAS AERONAUTICOS"
"Sundance Air","","Venezuela","SUV","DANCEAIR"
"Saudia","","Saudi Arabia","SVA","SAUDIA"
"St. Vincent Grenadines Air (1990)","","Saint Vincent and the Grenadines","SVD","GRENADINES"
"Swedish Armed Forces","","Sweden","SVF","SWEDEFORCE"
"Sahel Airlines","","Niger","AWJ","SAHEL AIRLINES"
"Sterling Helicopters","","United Kingdom","SVH","SILVER"
"Servicios De Transporte Aéreo","","Mexico","SVI","SETRA"
"Silver Air","","Djibouti","SVJ",""
"Sevastopol-Avia","","Ukraine","SVL","SEVAVIA"
"Savanair (Angola)","","Angola","SVN","SAVANAIR"
"Servicios Aeronáuticos De Oriente","","Mexico","SVO","SERVIORIENTE"
"Servicios Aéreos Saar","","Mexico","SVS","AEREOS SAAR"
"Seven Four Eight Air Services","","Luxembourg","SVT","SIERRA SERVICES"
"Security Aviation","","United States","SVX","SECURITY AIR"
"Southwest Airlines","","United States","SWA","SOUTHWEST"
"Swissboogie Parapro","","Switzerland","SWB","SWISSBOOGIE"
"South West Air","","Canada","SWC","SAINT CLAIR"
"Southern Winds Airlines","","Argentina","SWD","SOUTHERN WINDS"
"Swedeways","","Sweden","SWE","SWEDELINE"
"Spurling Aviation","Code was ASL","United States","","AIR SEATTLE"
"Sunwing Airlines","","Canada","SWG","SUNWING"
"Sunworld Airlines","","United States","SWI","SUNWORLD"
"StatesWest Airlines","","United States","SWJ","STATES"
"Surinam International Victory Airline","","Suriname","SWO","SIVA"
"Star Work Sky","","Italy","SWP","STAR WORK"
"Swift Air (Interstate Equipment Leasing)","","United States","SWQ","SWIFTFLIGHT"
"Swiss International Air Lines","","Switzerland","SWR","SWISS"
"Swissair","defunct","Switzerland","SWR","SWISSAIR"
"Sunwest Aviation (Lindquist Investment)","","United States","SWS","SUNNY WEST"
"Swiftair","","Spain","SWT","SWIFT"
"Swiss European Air Lines","","Switzerland","SWU","EUROSWISS"
"Swe Fly","","Sweden","SWV","FLYING SWEDE"
"Shovkoviy Shlyah","","Ukraine","SWW","WAY AERO"
"Swazi Express Airways","","Swaziland","SWX","SWAZI EXPRESS"
"Sky Jet","","Switzerland","SWY","SWISSLINK"
"Servair, Private Charter","Code re-allocated","Switzerland","SWZ","SWISSBIRD"
"Skywise Airline","","South Africa","SWZ","SKYWISE"
"Southern Cross Aviation","","United States","SXA","FERRY"
"Sky Exec Aviation Services","","Nigeria","SXC","SKY EXEC"
"Southeast Express Airlines","","United States","SXE","DOGWOOD EXPRESS"
"Servicios Aéreos Especializados Mexicanos","","Mexico","SXM","SERVIMEX"
"SunExpress","","Turkey","SXS","SUNEXPRESS"
"Servicios De Taxi Aéreo","","Mexico","SXT","SERTA"
"Satellite Aero","","United States","SXX","SATELLITE EXPRESS"
"Safari Express Cargo","","Kenya","SXY","SAFARI EXPRESS"
"Skyways","","Argentina","SYA","LINEAS CARDINAL"
"Systec 2000","","United States","SYC","SYSTEC"
"Sheba Aviation","","Yemen","SYE",""
"Sky One Express Airlines","","United States","SYF","SKY FIRST"
"Synergy Aviation","","United Kingdom","SYG","SYNERGY"
"Sonalysts","","United States","SYI",""
"Slate Falls Airways","","Canada","SYJ",""
"Satsair","(J and A Properties)","United States","SYK","AEROCAB"
"Syncrude Canada","","Canada","SYN","SYNCRUDE"
"Syrian Arab Airlines","","Syrian Arab Republic","SYR","SYRIANAIR"
"Shawbury Flying Training Unit","","United Kingdom","SYS","SHAWBURY"
"Special Aviation Systems","","United States","SYV","SPECIAL SYSTEM"
"Skywalk Airlines","(Astral Aviation)","United States","SYX","SKYWAY-EX"
"Silk Way Airlines","","Azerbaijan","AZQ","SILK LINE"
"South African Historic Flight","","South Africa","SYY","SKY COACH"
"Servicios Aeronáuticos Z","","Mexico","SZT","AERO ZEE"
"Specavia Air Company","","Russia","BHV","AVIASPEC"
"Starair","","Ireland","BLY","BLARNEY"
"Sundance Air","","United States","BNC","BARNACLE AIR"
"Samara Airlines","defunct","Russia","BRZ","BERYOZA"
"Swedish Civil Aviation Administration","","Sweden","CBN","CALIBRATION"
"Shandong Airlines","","China","CDG","SHANDONG"
"Spectrem Air","","South Africa","CDS","SPECDAS"
"Servicios Aéreos Centrales","","Mexico","CEE","CENTRA AEREOS"
"Swedish Airlines","","Sweden","CFL","SWEDISH"
"Seagle Air","","Slovakia","CGL","SEAGLE"
"Sirius-Aero","","Russia","CIG","SIRIUS AERO"
"Sunwest Home Aviation","","Canada","CNK","CHINOOK"
"SAS Braathens","","Norway","CNO","SCANOR"
"Spring Airlines","","China","CQH","AIR SPRING"
"Sichuan Airlines","","China","CSC","SI CHUAN"
"Shanghai Airlines","","China","CSH","SHANGHAI AIR"
"Shuangyang General Aviation","","China","CSY","SHUANGYANG"
"Shenzhen Airlines","","China","CSZ","SHENZHEN AIR"
"Shanxi Airlines","","China","CXI","SHANXI"
"Sioux Falls Aviation","","United States","DKT","DAKOTA"
"Servicios Aéreos Elite","","Spain","DKY","DAKOY"
"Servicios Aéreos Denim","","Mexico","DNI","AERO DENIM"
"Swiss Eagle","","Switzerland","EAB","SWISS EAGLE"
"Skypower Express Airways","Express Airways Nigeria","Nigeria","EAN","NIGERIA EXPRESS"
"Scenic Air","","Namibia","ENR",""
"Sun D'Or","","Israel","ERO","ECHO ROMEO"
"SkyEurope","Defunct","Slovakia","ESK","RELAX"
"Sunshine Express Airlines","","Australia","EXL",""
"South African Express","","South Africa","EXY","EXPRESSWAYS"
"Stuttgarter Flugdienst","","Germany","FFD","FIRST FLIGHT"
"Shalom Air Services","","Nigeria","FFH","PEACE AIR"
"Silverjet","","United Kingdom","FJE","ENVOY"
"Sky Bus","","United States","FLH","MILE HIGH"
"South Coast Aviation","","United Kingdom","GAD","SOUTHCOAST"
"Servicios Aéreos Gadel","","Mexico","GDE","GADEL"
"S.P. Aviation","","United States","GDG","GOLDEN GATE"
"Seba Airlines","","Guinea","GIK","SEBA"
"Servicios Aéreos Gana","","Mexico","GNA","SERVIGANA"
"Sky Wings Airlines","","Greece","GSW",""
"Star XL German Airlines","","Germany","GXL","STARDUST"
"Skyhaul","","Japan","HAU","SKYHAUL"
"Starship","","Mexico","HIP","STARSA"
"Servicios Ejecutivos Gosa","","Mexico","HJE","GOSA"
"Superior Aviation","","United States","HKA","SPEND AIR"
"Samaritan Air Service","","Canada","HLO","HALO"
"Skyraidybos Mokymo Centras","","Lithuania","HRI","HELIRIM"
"Sky Europe Airlines","","Slovakia","HSK","MATRA"
"Svenska Direktflyg","","Sweden","HSV","HIGHSWEDE"
"Sky Helicopteros","","Spain","HSY","HELISKY"
"Skytaxi","","Poland","IGA","IGUANA"
"Silvair","","United States","IJS",""
"Servicios Aéreos Ilsa","","Mexico","ILS","SERVICIOS ILSA"
"Sincom-Avia","","Ukraine","INK","SINCOM AVIA"
"Safat Airlines","","Iran","IRV","SAFAT AIR"
"Saha Airlines Services","","Iran","IRZ","SAHA"
"Sunline Express","","Kenya","JAM","SUNTRACK"
"Secure Air Charter","","United States","JCM","SECUREAIR"
"Sark International Airways","","United Kingdom","JIM","SARK"
"Spanair","defunct","Spain","JKK","SPANAIR"
"Salem","","Kazakhstan","KKS","KOKSHE"
"Servicios Aéreos Copters","","Chile","KOP","COPTERS"
"Servicios Aéreos Expecializados En Transportes Petroleros","","Colombia","KSP","SAEP"
"Skybridge AirOps","","Italy","KYB","SKY AIROPS"
"Sky Aeronautical Services","","Mexico","KYR","SKY AERONAUTICAL"
"Servicios Aéreos Ejecutivos De La Laguna","","Mexico","LGU","LAGUNA"
"Servico Leo Lopex","","Mexico","LLA","LEO LOPOZ"
"Servicios Aéreos Estrella","","Mexico","LLS","SERVIESTRELLA"
"South African Air Force","","South Africa","LMG","SOUTH AFRICAN"
"Sky One Holdings as Privaira","Callsign and company name changed from Sky Limo Corporation ""SKY LIMO"" in 2015.","United States","LMO","SKY HOLDINGS"
"Sansa","","Costa Rica","LRS",""
"Spectrum Aviation Incorporated","","United Kingdom","LSP","AIR TONY"
"SOS Helikoptern Gotland","","Sweden","MCG","MEDICOPTER"
"Sundt Air","","Norway","MDT","MIDNIGHT"
"Servicios Aéreos Milenio","","Mexico","MLO","MILENIO"
"SAAD (A320) Limited","","Cayman Islands","MMS","MUSAAD AIR"
"Servicios Aéreos Moritani","","Mexico","MRI","MORITANI"
"San Juan Airlines","","United States","MRR","MARINER"
"Servico Aéreo Regional","","Mozambique","MSG","SAR-REGIONAL"
"Servicio De Vigilancia Aérea Del Ministerio De Seguridad Pública","","Costa Rica","MSP","SEGURIDAD"
"Servicios Aéreos MTT","","Mexico","MTG",""
"Sabre Pacific","","Australia","APD",""
"Sabre","","United States","",""
"Sierra Nevada Airlines","","United States","",""
"Siren-Travel","","Russia","",""
"Sirena","","Russia","",""
"Snowbird Airlines","","Finland","SBW","SNOWMAN"
"Southern Cross Distribution","","Australia","",""
"Sutra","","United States","",""
"SNCF","","France","",""
"Star Equatorial Airlines","","Guinea","",""
"Seulawah Nad Air","","Indonesia","NAD","SEULAWAH"
"Servicios Aéreos del Nazas S.A. de C.V.","","Mexico","NAZ","NAZAS"
"Simpson Air Ltd","","Canada","NCS","COMMUTER-CANADA"
"Spirit Airlines","","United States","NKS","SPIRIT WINGS"
"Servicios Aéreos Latinoamericanos","","Mexico","NON","SERVICIOS LATINO"
"Servicios Aéreos Monarrez","","Mexico","NRZ","MONARREZ"
"Societe De Transport Aerien De Mauritanie","","Mauritania","NSC","TRANS-SOCIETE"
"SATENA","","Colombia","NSE","SATENA"
"Servicios Aéreos Del Norte","","Mexico","NTB","SERVINORTE"
"Servicios Integrales De Aviación","","Mexico","NTG","INTEGRALES"
"Slok Air Gambia","","Gambia","OKS","SLOK GAMBIA"
"Soko Aviation","","Spain","OKT","SOKO AIR"
"Solar Cargo","","Venezuela","OLC","SOLARCARGO"
"Soloflight","","United Kingdom","OLO","SOLO"
"Sonnig SA","","Switzerland","ONG","SONNIG"
"Sosoliso Airlines","","Nigeria","OSL","SOSOLISO"
"Servicios Aéreos Noticiosos","","Mexico","OSS","NOTICIOSOS"
"South Airlines","","Ukraine","OTL","SOUTHLINE"
"Skywest Airlines","","Australia","OZW","OZWEST"
"Sokol","","Russia","PIV","AEROSOKOL"
"South Carolina Aeronautics Commission","","United States","PLT","PALMETTO"
"Servicios Aéreos Premier","","Mexico","PMR","SERVICIOS PREMIER"
"Survey Udara (Penas)","","Indonesia","PNS","PENAS"
"Servicios Aéreos Poblanos","","Mexico","POB","POBLANOS"
"Servicios Aéreos Profesionales","","Dominican Republic","PSV","PROSERVICIOS"
"Southeastern Airways","","United States","PTM","POSTMAN"
"Spurwing Airlines","","South Africa","PUR","SPURWING"
"Sky Trek International Airlines","","United States","PZR","PHAZER"
"Shandong Airlines Rainbow Jet","","China","RBW","CAI HONG"
"SA Airlink Regional","","South Africa","REJ","REGIONAL LINK"
"Servicio Aéreo Regional Regair","","Ecuador","RER","REGAIR"
"Scoala Superioara De Aviatie Civila","","Romania","RFT","ROMANIAN ACADEMY"
"Servicios Aéreos Regiomontanos","","Mexico","RGC","REGIOMONTANO"
"S-Air","","Russia","RLS","S-AIRLINES"
"Servicios De Rampa Y Mostrador","","Mexico","RMP","SERAMSA"
"SNAS Aviation","","Saudi Arabia","RSE","RED SEA"
"Skybus Airlines","defunct","United States","SKB","SKYBUS"
"Skymaster Airlines","","Brazil","SKC","SKYMASTER AIR"
"Sky Harbor Air Service","","United States","SKD","SKY DAWG"
"Sky Tours","","United States","SKE","SKYISLE"
"Sakaviaservice","","Georgia","AZG","SAKSERVICE"
"Skycraft","","United States","SKF","SKYCRAFT"
"Skycraft Air Transport","","Canada","SKG","SKYCRAFT-CANADA"
"SkyKing Turks and Caicos Airways","IATA was QW","Turks and Caicos Islands","SKI","SKYKING"
"Skylink Aviation","","Canada","SKK","SKYLINK"
"Skycharter (Malton)","","Canada","SKL","SKYCHARTER"
"Skyline Aviation Services","","United States","SKN","SKYLINER"
"Scottish Airways Flyers","","United Kingdom","SKO","SKYWORK"
"Skyscapes Air Charters","","South Africa","SKR","SKYSCAPES"
"Sky Service","Callsign re-allocated","Belgium","SKS","SKY SERVICE"
"Sky Link Aviation","","Pakistan","SKS",""
"Santa Barbara Airlines","","Venezuela","BBR","SANTA BARBARA"
"SkyStar Airways","","Thailand","SKT","SKY YOU"
"Sky Airline","","Chile","SKU","AEROSKY"
"SkyWest Airlines","","United States","SKW","SKYWEST"
"Skyways Express","Ceased operations 2012; Operations continue as Avia Express","Sweden","SKX","SKY EXPRESS"
"Skymark Airlines","","Japan","SKY","SKYMARK"
"Skyway Enterprises","","United States","SKZ","SKYWAY-INC"
"Sierra National Airlines","","Sierra Leone","SLA","SELAIR"
"Slok Air","","Nigeria","SLB","SLOK AIR"
"Silver Air","","Czech Republic","SLD","SILVERLINE"
"Streamline","","South Africa","SLE","SLIPSTREAM"
"Starfly","","Italy","SLF","ELISTARFLY"
"Saskatchewan Government","Air Ambulance Service","Canada","SLG","LIFEGUARD"
"Silverhawk Aviation","","United States","SLH","SILVERHAWK"
"Servicios Aéreos de Los Ángeles","","Mexico","AGE","AEROANGEL"
"SilkAir","","Singapore","SLK","SILKAIR"
"Slovak Airlines","","Slovakia","SLL","SLOV LINE"
"Surinam Airways","","Suriname","SLM","SURINAM"
"Sloane Aviation","","United Kingdom","SLN","SLOANE"
"Salpa Aviation","","Sudan","SLP","SALPA"
"Servicios Aéreos Slainte","","Mexico","SLS","SERVICIOS SLAINTE"
"Stella Aviation","","Mauritania","SLV","AVISTELLA"
"Salama Airlines Nigeria","","Nigeria","SLW","SALMA AIR"
"Sete Linhas Aéreas","","Brazil","SLX","SETE"
"Sky Line for Air Services","","Sudan","SLY","SKYCO"
"Super Luza","","Angola","SLZ","LUZA"
"SMA Airlines","","Nigeria","SMA","SESAME"
"Sabang Merauke Raya Air Charter","","Indonesia","SMC","SAMER"
"Servicios Aéreos La Marquesa","","Mexico","SMD","SERVICIOS MARQUESA"
"Servant Air","","United States","",""
"Semos","","Kazakhstan","SME","SEMICH"
"Smalandsflyg","","Sweden","SMF","GORDON"
"Smithair","","United States","SMH","SMITHAIR"
"Semeyavia","","Kazakhstan","SMK","ERTIS"
"Smith Air (1976)","","Canada","SML","SMITH AIR"
"Summit Airlines","","United States","SMM","SUMMIT-AIR"
"Samar Air","","Tajikistan","SMQ","SAMAR AIR"
"Somon Air","","Tajikistan","SMR","SOMON AIR"
"Skyline","","Nigeria","SMT","SKYLIMIT"
"Servicios Aéreos Del Sol, S.A. de C.V.","","Mexico","AOS","AEROSOL"
"Senator Aviation Charter","","Germany","SNA","SENATOR"
"Sterling Airlines","","Denmark","SNB","STERLING"
"Servicios Aéreos De Nicaragua (SANSA)","","Nicaragua","SNE","SANSA"
"Shans Air","","Russia","SNF","SHANS AIR"
"Senair Services","","Senegal","SNH","SENSERVICE"
"Savanah Airlines","","Nigeria","SNI","SAVANAHLINE"
"Skynet Asia Airways","","Japan","SNJ","NEWSKY"
"Southeast Airlines (Sun Jet International)","","United States","SNK","SUN KING"
"Soonair Lines","","United States","SNL","SOONAIR"
"Servizi Aerei","","Italy","SNM","SERVIZI AEREI"
