"Declining stem","English derivatives","Citation form","Meaning"
"denticul-","bident, bidental, dental, dentate, denticity, denticle, denticulate, dentiferous, dentiform, dentifrice, dentil, dentin, dentinal, dentition, denture, indent, indentation, indenture, interdental, intradental, multidentate, quadridentate, trident, tridentate","†denticulus","tooth"
"dens-","condensable, condensate, condensation, condense, dense, density, nondense","densus","thick"
"deter- • deterior- • deterrim-","• deterior, deteriorate, deterioration •","deter • dēterior • dēterrimus","• worse • worst"
"de-","deicidal, deicide, deific, deification, deiform, deity","deus","god"
"dextr- • dexterior- • dextim-","ambidextrous, dexterity, dexterous, dextral, dextrality, dextrin, dextrorse, dextrose • •","dexter • dexterior • dextimus","right"
"diē-","adjourn, adjournment, aggiornamento, antemeridian, circadian, dial, diary, diurnal, diurnality, infradian, jornada, journal, journey, meridian, meridional, nundinal, per diem, postmeridian, quotidian, semidiurnal, sojourn, transmeridional, triduan, triduum, ultradian","diēs","day"
"digit-","bidigitate, digit, digital, digitate, digitiform, digitigrade, multidigit, multidigitate","digitus","finger, toe"
"dign-","condign, deign, dignify, dignitarial, dignitary, dignity, disdain, indign, indignance, indignant, indignation, indignity","dignus","worthy"
"dir-","dire","dirus",""
"discipul-","disciple, disciplinarian, disciplinary, discipline, interdisciplinarity, interdisciplinary, multidisciplinary, transdisciplinarity","discipulus","student"
"div-","divination, divinatory, divine, divinity","divus","god"
"domin-","beldam/beldame, codomain, codominance, codominant, condominium, dam, dame, damsel, demesne, demoiselle, domain, dominance, dominant, dominate, domination, dominative, dominator, dominatrix, domine, domineer, dominicide, dominion, dominium, domino, duenna, madam, madame, mademoiselle, madonna, predominance, predominant, predominate, semidominance, subdominant, superdominant","dominus","lord"
"dom-","domal, dome, domestic, domesticate, domestication, domesticity, domestique, domicile, domiciliary, major-domo, semidome","domus","house"
"dōn-","condonation, condone, donation, donative, donator, donatory, pardon, pardonable","dōnum","gift"
"dors-","disendorse, dorsal, dorsum, dossier, endorse, endorsee, endorsement, indorse, indorsement, reredos","dorsum","back"
"dot-","dotal, dotation","dos","dowry"
"drapp-","drab, drape, drapery","drappus",""
"dulc-","billet-doux, dolce, dolcetto, douce, doux, dulcet, dulcian, dulcify, dulcimer, edulcorant, edulcorate, subdulcid","dulcis","sweet"
"du-","deuce, doubt, dual, duality, dubiety, dubious, duet, duo, duplex, duumvirate, duumviri, nonduality","duo","two"
"duodec-","dozen, duodecillion","duodecim","twelve"
"duodec-","duodecimal","duodecimus","twelfth"
"duoden-","duodenal, duodenary, duodenum","duodeni","twelve each"
"dupl-","dobla, double, doubloon, doublure, duplation, duple, redouble, semidouble","duplus","twofold"
"dur-","dour, durability, durable, duration, durative, duress, durum, endurable, endurance, endurant, endure, indurate, induration, nondurable, obdurate, obduration, perdurable, perdurance, perdure, subdural","durus","hard"
"ebri-","inebriant, inebriate, inebriation, inebriety, sober, sobriety","ebrius",""
"ens-","ensiferous, ensiform","ensis","sword"
"equ-","equestrian, equine","equus","horse"
"eruc-","eruciform","eruca","caterpillar"
"exter- • exterior- • extrem-","extern, external, externality • exterior • extreme, extremity, extremum","exterus • exterior • extremus","• outer • outmost"
"fab-","faba bean, fabaceous","faba","bean"
"fabr-","fabric, fabrication, fabricator","faber",""
"faen-","fennel, sainfoin","faenum","hay"
"falc-","defalcation, falcate, falciform","falx","sickle"
"fam-","famine, famish","fames","hunger"
"fan-","profane, profanity","fanum","temple"
"fasc-","fasces, fascicle, fascicular, fasciculation, fascine","fascis","bundle"
"fascicul-","fasces, fascicle, fascicular, fasciculation, fascine","†fasciculus","bundle"
"fatu-","fatuous, infatuation","fatuus","foolish, useless"
"fauc-, -foc-","faucal, suffocate, suffocation","fauces","throat"
"febr-","antefebrile, febrifacient, febriferous, febrifuge, febrile","febris","fever"
"fēl-","felid, Felinae, feline","fēlēs","cat"
"fēlic-","felicitations, felicitous, felicity","fēlix","happy"
"fēmin-","effeminacy, effeminate, feminine, femininity","fēmina","woman"
"femor-","femoral, femur","femur","thigh"
"fenestr-","defenestration","fenestra","window"
"feroc-","ferocious, ferocity","ferox","fierce"
"ferr-","farrier, farriery, ferrate, ferrite, ferreous, ferrous, ferruginous, ferrugo, nonferrous","ferrum","iron"
"fer-","feral, ferine, ferocious, ferocity, fierce","ferus","wild"
"festūc-","fescue, Festuca","festūca",""
"fest-","feast, festal, festival, festive, festivity, festivous, festoon, Festus, fete, fiesta, infestive","festus",""
"feud-","feodary, feudal, feudary, feudatory, subinfeudation","feudum","fee"
"fibr-","defibrillate, defibrillation, defibrillator, fiber, fibre, fibriform, fibril, fibrillar, fibrillate, fibrin, fibrinous, fibrous, multifibrous","fibra",""
"fibrill-","defibrillate, defibrillation, defibrillator, fiber, fibre, fibriform, fibril, fibrillar, fibrillate, fibrin, fibrinous, fibrous, multifibrous","†fibrilla",""
"fībul-","fibula, fibular, infibulate, infibulation","fībula","clasp, fastener"
"fic-","Ficus","ficus","fig"
"fid-","affiance, affiant, affidavit, confidant, confidante, confide, confidence, confident, confidential, confidentiality, defiance, defiant, defy, diffide, diffidence, diffident, faith, feal, fealty, fiancé, fiancée, fidelity, fiducial, fiduciary, infidel, infidelity, interfaith, multifaith, perfidious, perfidy, prefident","fidēs","faith, trust"
"fīli- fīli-","affiliate, affiliation, affiliative, disaffiliate, disaffiliation, filial, filiate, filiation, filicide, filiety, nonaffiliation","fīlia fīlius","daughter son"
"fil-","bifilar, defilade, defile, enfilade, filament, filarial, filariform, filet, filiferous, filiform, filigree, fillet, multifilament, profile, unifilar","filum","thread"
"fimbri-","fimbria, fimbrial, fimbriate, fimbriation, fimbrillate, fringe","fimbriae",""
"fim-","fimicolous","fimus","dung"
"fīn-","affinal, affine, affinitive, affinity, confine, confinement, confines, confinity, define, definiendum, definiens, definite, definition, definitive, equifinality, final, finality, finance, fine, finery, finesse, finis, finish, finite, finito, finitude, indefinite, indefinitude, infinite, infinitesimal, infinitive, infinitude, infinity, nonaffinity, nonfinal, nonfinite, prefinite, raffinate, raffinose, redefine, redefinition, refinance, refine, refinement, refinery, semidefinite, semifinal, superfine, transfinite","fīnis","end, limit"
"firm-","affirm, affirmance, affirmant, affirmation, affirmative, affirmatory, confirm, confirmation, confirmational, confirmatory, disaffirm, disaffirmation, farm, fermata, firmament, infirm, infirmarian, infirmary, infirmity, nonaffirmation, obfirm, obfirmation, reaffirm, reaffirmation, reconfirm, reconfirmation","firmus","firm"
"fisc-","confiscate, confiscation, confiscatory, fisc, fiscal, fiscus","fiscus","basket"
"fistul-","fistula, fistulate, fistuliform, fistulose, fistulous","fistula","pipe, tube"
"flacc-","flaccid, flaccidity","flaccus","flabby"
"flagr-","flagellant, flagellar, flagellate, flagellation, flagelliform, flagellin, flagellum, flail, multiflagellate, uniflagellate","flagrum",""
"flagell-","flagellant, flagellar, flagellate, flagellation, flagelliform, flagellin, flagellum, flail, multiflagellate, uniflagellate","†flagellum",""
"flamm-","flamage, flambé, flambeau, flamboyance, flamboyant, inflame, inflammable, inflammation, inflammatory, oriflamme","flamma","flame"
"flav-","flavin, flavivirus, flavonoid","flavus","yellow"
"flocc-","deflocculant, deflocculation, floc, floccillation, floccinaucinihilipilification, floccose, flocculant, floccular, flocculation, floccule, flocculent, floccus, flock","floccus","tuft"
"floccul-","deflocculant, deflocculation, floc, floccillation, floccinaucinihilipilification, floccose, flocculant, floccular, flocculation, floccule, flocculent, floccus, flock","†flocculus","tuft"
"flōr-","counterflory, deflorate, defloration, effleurage, effloresce, efflorescence, efflorescent, fiori, fioritura, fleur-de-lis, fleury, flora, floral, florescence, florescent, floret, floriculture, florid, floridean, floridity, floriferous, floriform, florilege, florilegium, florin, floruit, florulent, flory, flour, flourish, flower, inflorescence, multiflora, multiflorous, pauciflor, pluriflor, uniflorous","flōs","flower"
"floscell-","counterflory, deflorate, defloration, effleurage, effloresce, efflorescence, efflorescent, fiori, fioritura, fleur-de-lis, fleury, flora, floral, florescence, florescent, floret, floriculture, florid, floridean, floridity, floriferous, floriform, florilege, florilegium, florin, floruit, florulent, flory, flour, flourish, flower, inflorescence, multiflora, multiflorous, pauciflor, pluriflor, uniflorous","†floscellus","flower"
"foc-","bifocal, confocal, defuel, focaccia, focal, focus, foyer, fuel, fusillade, multifocal, omnifocal, parfocal, refocus, refuel, trifocal, varifocal","focus","hearth"
"foeder-","confederate, confederation, federacy, federal, federation","foedus",""
"foli-","bifoliate, bifoliolate, centifolious, cinquefoil, counterfoil, defoliant, defoliate, defoliation, exfoliant, exfoliate, exfoliation, exfoliative, feuilleton, foil, folate, foliage, foliar, foliate, foliation, foliature, folic, foliferous, folio, foliolate, foliole, foliose, foliosity, folivore, folivorous, folivory, multifoil, multifoliate, octofoil, perfoliate, portfolio, quadrifoliate, quadrifolium, quatrefoil, septifolious, trefoil, trifoliate, trifoliolate, trifolium, unifoliate","folium","leaf"
"foliol-","bifoliate, bifoliolate, centifolious, cinquefoil, counterfoil, defoliant, defoliate, defoliation, exfoliant, exfoliate, exfoliation, exfoliative, feuilleton, foil, folate, foliage, foliar, foliate, foliation, foliature, folic, foliferous, folio, foliolate, foliole, foliose, foliosity, folivore, folivorous, folivory, multifoil, multifoliate, octofoil, perfoliate, portfolio, quadrifoliate, quadrifolium, quatrefoil, septifolious, trefoil, trifoliate, trifoliolate, trifolium, unifoliate","†foliolum","leaflet"
"foll-","follicle, follicular, follis, folly, fool, foolery","follis","bellows"
"follicul-","follicle, follicular, follis, folly, fool, foolery","†folliculus","bellows"
"font-","font, fontal, fontanelle","fons","fountain, spring"
"for-","afforest, afforestation, deforest, deforestation, disforest, foreclose, foreign, forensic, forest, forfeit, forum, reforest, reforestation","foris","outdoors"
"fōrm-","biform, biformity, conform, conformable, conformance, conformant, conformity, counterreformation, deform, deformable, deformation, deformity, disinformation, formable, formal, formality, formant, format, formation, formative, formula, formulary, formulation, inform, informal, informality, informant, information, informative, irreformable, malformation, nonconformance, perform, performance, preform, preformat, reform, reformable, reformat, reformation, reformatory, transform, transformable, transformation, transformational, transformative, triform, triformity, uniform, uniformity","fōrma","form, shape"
"formell-","biform, biformity, conform, conformable, conformance, conformant, conformity, counterreformation, deform, deformable, deformation, deformity, disinformation, formable, formal, formality, formant, format, formation, formative, formula, formulary, formulation, inform, informal, informality, informant, information, informative, irreformable, malformation, nonconformance, perform, performance, preform, preformat, reform, reformable, reformat, reformation, reformatory, transform, transformable, transformation, transformational, transformative, triform, triformity, uniform, uniformity","†formella","form, shape"
"formul-","biform, biformity, conform, conformable, conformance, conformant, conformity, counterreformation, deform, deformable, deformation, deformity, disinformation, formable, formal, formality, formant, format, formation, formative, formula, formulary, formulation, inform, informal, informality, informant, information, informative, irreformable, malformation, nonconformance, perform, performance, preform, preformat, reform, reformable, reformat, reformation, reformatory, transform, transformable, transformation, transformational, transformative, triform, triformity, uniform, uniformity","†formula","form, shape"
"formic-","formic","formica","ant"
"form-","","formus","warm"
"fornic-","fornication, forniciform","fornix","vault"
"fort-","fortuitous, fortuity, fortunate, fortune","fors","luck"
"fort-","comfort, effort, force, forcible, forte, fortification, fortify, fortis, fortissimo, fortitude","fortis","strong"
"fove-","fovea, foveal, foveole","fovea","shallow round depression"
"frātr-","fraternal, fraternity, fratricide, friar, friary","frāter","brother"
"fraud-","defraud, defraudation, fraud, fraudulent","fraus","fraud"
"frēn-","frenal, frenate, frenulum, frenum, refrain, refrainment","frēnum","bridle"
"frenul-","frenal, frenate, frenulum, frenum, refrain, refrainment","†frenulum","bridle"
"frequent-","frequency, frequent, frequentation, frequentative, infrequency, infrequent","frequēns • frequentior • frequentissimus","often"
"fret-","transfretation, transfrete","fretum","strait"
"frigor-","frigorific","frīgus","cold"
"friguscul-","frigorific","†frīgusculum","cold"
"frond-","frond, frondent, frondescence, frondiferous, frondlet, frondose","frōns, fruns",""
"front-","affront, affrontive, bifront, confront, confrontation, confrontational, effrontery, front, frontage, frontal, frontier, frontispiece, nonconfrontational, nonfrontal, prefrontal, quadrifrons, transfrontier","frōns","brow, forehead"
"frust-","bifrustum, frustule, frustulent, frustulum, frustum","frustum","piece"
"frustill-","bifrustum, frustule, frustulent, frustulum, frustum","†frustillum","piece"
"frustul-","bifrustum, frustule, frustulent, frustulum, frustum","†frustulum","piece"
"frutic-","frutescence, frutescent, fruticose, fruticulose, suffrutescent, suffruticose, suffruticulose","frutex","shrub"
"fruticul-","frutescence, frutescent, fruticose, fruticulose, suffrutescent, suffruticose, suffruticulose","†fruticulus","shrub"
"frūg-","frugal, frugality, frugiferous, frugivore, frugivorous, frumenty, infrugiferous","frūx","fruit"
"fulv-","fulvic, fulvid, fulvous","fulvus • fulvissimus","tawny"
"fūm-","fumacious, fumade, fumage, fumarine, fumarole, fumatorium, fumatory, fume, fumeuse, fumid, fumidity, fumiferous, fumigant, fumigate, fumigation, fumigator, infumate, infumation, perfume, perfumery, suffumigate, suffumigation","fūmus","smoke"
"fund-","cofound, defund, found, foundation, foundational, founder, fund, fundament, fundamental, fundoplication, fundus, profound, profundal, profundity","fundus","bottom"
"fundul-","cofound, defund, found, foundation, foundational, founder, fund, fundament, fundamental, fundoplication, fundus, profound, profundal, profundity","†fundulus","bottom"
"fung-","fungal, fungicidal, fungicide, fungiform, fungus","fungus","mushroom"
"fūn-","funambulatory, funicle, funicular, funiculate, funiform","fūnis","rope"
"fūnicul-","funambulatory, funicle, funicular, funiculate, funiform","†fūniculus","rope"
"funer-","funeral, funerary, funerate, funereal","fūnus",""
"fur-","furuncle","fur","thief"
"furc-","bifurcation, fourchette, furcate, furcula, furcular, multifurcate, trifurcate, trifurcation","furca","fork"
"furcill-","bifurcation, fourchette, furcate, furcula, furcular, multifurcate, trifurcate, trifurcation","†furcilla","fork"
"furcul-","bifurcation, fourchette, furcate, furcula, furcular, multifurcate, trifurcate, trifurcation","†furcula","fork"
"furt-","furtive","furtum","theft"
"fusc-","fuscation, fuscine, fuscous, infuscate, infuscation, obfuscate, obfuscation, subfuscous","fuscus • fuscior","dark"
"fūst-","fustigate, fustigation","fūstis","cudgel"
"fusticul-","fustigate, fustigation","†fusticulus","cudgel"
"fūs-","fusain, Fusarium, fusarole, fusee, fuselage, fusilli, fusula, fuze","fūsus","spindle"
"galb-","jaundice","galbus","yellow"
"gale-","galea, galeate, galeiform","galea","helmet"
"galēn-","galena, galenic","galēna","lead ore"
"gallīn-","gallinacean, gallinaceous, gallinule","gallīna","hen"
"gallīnul-","gallinacean, gallinaceous, gallinule","†gallīnula","hen"
"gel-","congeal, congelation, gel, gelati, gelatin, gelatinous, gelation, gelato, gelée, gelid, gelifluction, gelignite, jellification, jelly","gelu",""
"gemin-","bigeminal, bigeminy, gemel, gemelli, gemelliparous, geminal, geminate, gemination, gemini, gimmal, ingeminate, quadrigeminal, trigeminal, trigeminy","geminus","twin"
"gemell-","bigeminal, bigeminy, gemel, gemelli, gemelliparous, geminal, geminate, gemination, gemini, gimmal, ingeminate, quadrigeminal, trigeminal, trigeminy","†gemellus","twin"
"gemm-","gem, gemma, gemmaceous, gemmate, gemmiferous, gemmiform, gemmiparous, gemmulation, gemmule, gemmuliferous","gemma","bud"
"gemmul-","gem, gemma, gemmaceous, gemmate, gemmiferous, gemmiform, gemmiparous, gemmulation, gemmule, gemmuliferous","†gemmula","bud"
"gen-","fixigena, gena, genal, librigena","gena","cheek"
"gent-","gens, genteel, gentile, gentility, gentle, gentrice, gentrification, gentry","gens",""
"genū-","genicular, geniculate, geniculation, geniculum, genu, genual, genucubital, genuflect, genuflection, genuflexion","genū","knee"
"genicul-","genicular, geniculate, geniculation, geniculum, genu, genual, genucubital, genuflect, genuflection, genuflexion","†geniculum","knee"
"gener-","congener, congeneric, degenerate, degenerative, engender, gender, general, generality, generate, generation, generational, generative, generator, generatrix, generic, generosity, generous, genre, genuine, genus, intergenerational, intergeneric, regenerate, regenerative, subgenre, subgenus, transgender","genus","birth, offspring, creation"
"germin-","germ, germane, germicide, germinal, germinate, germination, nongermane, regerminate","germen","sprout"
"gibb-","gibbose, gibbosity, gibbous","gibbus","hump"
"glabr-","glabella, glabellar, glabrate, glabrescent, glabrous","glaber","smooth"
"glabell-","glabella, glabellar, glabrate, glabrescent, glabrous","†glabellus","smooth"
"glaci-","glacé, glacial, glaciation, glacier, glacious, glacis, glance","glacies","ice"
"gladi-","gladiate, gladiator, gladiatory, gladiature, gladiolus","gladius","sword"
"gland-","eglandular, eglandulose, gland, glandiferous, glandula, glandular, glandule, glanduliferous, glandulose, glans","glāns","acorn"
"glandul-","eglandular, eglandulose, gland, glandiferous, glandula, glandular, glandule, glanduliferous, glandulose, glans","†glandula","acorn"
"glēb-","gleba, glebal, glebe, glebosity","glēba, glaeba","clod"
"glob-","global, globate, globe, globose, globosity, globular, globule, globulin, inglobate","globus",""
"globul-","global, globate, globe, globose, globosity, globular, globule, globulin, inglobate","†globulus",""
"glomer-","agglomerate, agglomeration, agglomerative, glomerate, glomerular, glomerulation, glomerulus, juxtaglomerular","glomus",""
"glomerul-","agglomerate, agglomeration, agglomerative, glomerate, glomerular, glomerulation, glomerulus, juxtaglomerular","†glomerulus",""
"glutin-","agglutinant, agglutinate, agglutination, agglutinative, glutelin, gluten, glutinosity, glutinous, nonagglutinative","gluten","glue"
"gracil-","engrail, engrailment, gracile, gracility","gracilis • gracilior","slender"
"grad-","aggradation, aggrade, antegrade, degradable, degradation, degrade, degree, gradation, grade, gradient, gradine, gradual, graduality, graduand, graduate, graduation, progradation, prograde, retrogradation, retrograde","gradus","step"
"grand-","aggrandisement, grandee, grandeur, grandific, grandiloquent, grandiose, grandiosity, grandioso, grandity","grandis • grandior • grandissimus",""
"gran-","degranulation, granary, granite, granular, granularity, granule","granum","grain"
"granul-","degranulation, granary, granite, granular, granularity, granule","†granulum","grain"
"grat-","congratulations, congratulatory, disgrace, grace, graciosity, gracious, gratify, gratification, gratis, gratitude, gratuitous, gratuity, gratulant, gratulate, gratulation, gratulatory","gratus",""
"grav-","aggravate, aggravation, degravation, gravamen, grave, gravid, gravida, gravidity, gravitas, gravitate, gravitation, gravitational, gravity, grief, grieve, grievance, grievant, grievous, ingravescence, ingravescent, multigravida, multigravidity, nongravitational, nulligravida, primigravida, reaggravate, supergravity","gravis • gravior • gravissimus","heavy"
"greg-","aggregate, aggregation, aggregator, congregate, congregation, congregational, desegregate, desegregation, disaggregate, egregious, gregarious, intercongregational, segregate, segregation","grex","flock, herd"
"gross-","engross, engrossment, grocer, grocery, grosgrain, gross","grossus • grossior","thick"
"gul-","gula, gular, gullet, gully, subgular","gula",""
"gurgit-","demigorge, disgorge, disgorgement, engorge, engorgement, gorge, gorgeous, gorget, ingurgitate, ingurgitation, regurgitate, regurgitation","gurges",""
"gust-","disgust, gustatory, gusto, gustoso","gustus","taste"
"gutt-","gout, gutta, guttate, gutter, guttifer, guttiform","gutta","drop"
"guttur-","goitre, guttural","guttur","throat"
"halluc-","hallucal, hallux","hallux","big toe"
"hām-","hamate, hamiform, hamular, hamulate, hamulus","hāmus","hook"
"hāmul-","hamate, hamiform, hamular, hamulate, hamulus","†hāmulus","hook"
"haren-","arena, arenaceous, arenite, arenose","harena","sand"
"hast-","hasta, hastate, hastatic, hastile","hasta","spear"
"hebet-","hebetate, hebetude","hebes","blunt, dull"
"heder-","Hedera, hederaceous","hedera","ivy"
"herb-","herbaceous, herbal, herbarium, herbicide, herbivore, herbivorous, herbivory, non-herbal","herba","grass"
"hērēd-","disinherit, heir, hereditable, hereditament, hereditary, heredity, heritability, heritage, inherit, inheritable, inheritance, inheritor, inheritrix, nonhereditary, noninheritable","hērēs",""
"hibern-","hibernacle, hibernal","hibernus",""
"hiem-","hiemal","hiems","winter"
"hirc-","hircine","hircus","goat"
"homin-","bonhomie, homage, hombre, homicide, hominid, homuncular, homunculus, human, humane, humanitarian, humanity, inhuman, inhumane, inhumanity, Nemo, nonhuman, prehuman, subhuman, superhuman, transhuman","homō","man (human being)"
"homuncul-","bonhomie, homage, hombre, homicide, hominid, homuncular, homunculus, human, humane, humanitarian, humanity, inhuman, inhumane, inhumanity, Nemo, nonhuman, prehuman, subhuman, superhuman, transhuman","†homunculus","man (human being)"
"honor-","honorable, honorarium, honorary, honorific","honor","honor"
"hort-","cohort, court, courteous, courtesan, courtesy, courtier, curtain, horticulture","hortus","garden"
"host-","hostile, hostility","hostis","enemy"
"hum-","exhumation, exhume, humate, humation, humic, humiliate, humility, inhumation, inhume","humus","ground"
"ign-","igneous, ignite, ignition","ignis","fire"
"imbecill-","imbecile, imbecility","imbecillus","weak"
"inan-","inane, inanity","inanis",""
"infer- • inferior- • infim-","• inferior, inferiority •","inferus • inferior • infimus","• lower • lowest"
"inguin-","inguinal","inguen","groin"
"īnsul-","insular, insulate, insulation, peninsula, peninsular, isolate, isolation","īnsula","island"
"inter- • interior- • intim-","entrail, intern, internal, internality • interior • intima, intimacy, intimate, intimation","interus • interior • intimus","• •"
"joc-","jocular, jocularity, joke","iocus jocus","jest"
"jocul-","jocular, jocularity, joke","†joculus","jest"
"iūdic-","adjudicate, adjudication, adjudicative, adjudicator, adjudicatory, extrajudicial, injudicious, judge, judgement, judgment, judgmental, judicable, judicative, judicator, judicatory, judicature, judicial, judiciary, judicious, nonjudicial, prejudge, prejudgment, prejudice, prejudicial","iūdex jūdex","judge"
"iug-","conjugacy, conjugal, conjugate, conjugation, jugal, jugate, jugular","iugum jugum","yoke"
"iūr-","abjuration, abjure, conjure, de jure, jurat, juration, juratory, jurisdiction, jury, justice","iūs","law, right"
"juven-","junior, juniorate, juniority, juvenile, juvenilia, juvenility, rejuvenate","iuvenis juvenis","young"
"jejun-","jejunal, jejune, jejunity, jejunum","jejunus",""
"labi-","labial, labium","labia","lip"
"labor-","collaboration, collaborative, collaborator, elaboration, laboratory, laborious","labor","toil"
"labr-","labrose, labrum","labrum","lip"
"lact-","lactate, lactic, lactose","lac","milk"
"lacrim-","lachrymose","lacrima","tear"
"lac-","lacuna, lacustrine, lagoon, lake","lacus",""
"lapid-","dilapidate, lapidary","lapis","stone"
"lass-","lassitude","lassus",""
"latic-","laticifer","latex","liquid"
"lat-","latifoliate, latitude","latus","broad, wide"
"later-","collateral, lateral","latus","side"
"laud-","laud, laudable, Lauds","laus","praise"
"lax-","laxity, relax","laxus","loose"
"leni-","leniency, lenient, leniment, lenis, lenition, lenitive, lenitude, lenity","lenis","gentle"
"lent-","lens, lenticel, lenticular, lentiform","lens","lentil"
"lent-","lentic, relent","lentus",""
"leon-","leonine","leo","lion"
"lepor-","leporid, leporine","lepus","hare"
"lev-","levity, relieve","levis","light (weight)"
"lēg-","alleged, extralegal, illegal, legal, legality, legislation, legislator, privilege","lēx","law"
"liber-","illiberal, illiberality, liberal, liberality, liberate, liberation, liberator","liber","free"
"libr-","librarian, library, libretto","liber","book"
"libr-","deliberate, deliberation, deliberative, equilibrium, libration","libra","balance, scales"
"lign-","ligneous, ligniform, lignin, lignite, lignose","lignum","wood"
"limb-","limbate, limbic, limbo","limbus","edge"
"limit-","delimit, limes, limit, limitation","limes",""
"line-","align, collinear, collineation, linea, lineage, linear, linearity, multicollinearity","linea","line"
"lingu-","bilingual, bilinguality, bilinguous, collingual, elinguation, interlanguage, language, ligula, ligular, ligule, lingua franca, lingual, linguiform, linguine, multilingual, prelingual, quadrilingual, sublingual, trilingual","lingua","tongue"
"lingul-","bilingual, bilinguality, bilinguous, collingual, elinguation, interlanguage, language, ligula, ligular, ligule, lingua franca, lingual, linguiform, linguine, multilingual, prelingual, quadrilingual, sublingual, trilingual","†lingula, ligula","tongue"
"lir-","delirium","lira","furrow"
"litter-","alliteration, alliterative, biliteral, illiteracy, illiterate, literacy, literal, literary, literate, literature, obliterate, obliteration, transliteracy, transliteration, triliteral","littera","letter"
"loc-","accouchement, couch, dislocation, local, locality, locate, location, locative, translocate, translocation","locus","place"
"locul-","accouchement, couch, dislocation, local, locality, locate, location, locative, translocate, translocation","†loculus","place"
"long-","elongate, longitude, oblong, prolong","longus","long"
"lucr-","lucrative, lucre","lucrum",""
"lumin-","enlumine, illuminate, illuminati, illumination, illumine, lumen, luminance, luminant, luminaria, luminary, luminescence, luminescent, luminiferous, luminosity, luminous, relumine","lumen","light"
"lūn-","cislunar, lunar, lunate, lunatic, lunation, luniform, superlunary, translunar","lūna","Moon"
"lup-","lupine","lupus","wolf"
"lut-","lutaceous, lutite","lutum","mud"
"luc-","Lucifer, luciferous, lucifugal, translucency, translucent","lux","light"
"lux-","luxuriant, luxurious, luxury","luxus",""
"macul-","immaculate, macula, macular, maculate, maculation, maculature, macule, maculose","†macula","spot"
"magistr-","maestro, magisterial, magistery, magistracy, magistral, magistrate, magistrature, master, mastery, mistral, quartermaster, remaster","magister","master"
"magn- • māior- • maxim-","magnanimity, magnanimous, magnate, magnificent, magnitude • maestoso, majesty, major, majorate, majordomo, majoritarian, majority, majuscule, mayor, mayoral, mayoralty, semimajor, supermajority • maxim, maximal, maximum","magnus • māior • maximus","big, great • greater • greatest"
"malle-","malleability, malleable, mallet","malleus","hammer"
"mal- • peior- • pessim-","dismal, grand mal, malady, malaise, malevolence, malevolent, malice, malicious, malignancy, malignant, nonmalignant, petit mal, premalignant • impair, impairment, pejoration, pejorative • pessimal","malus • peior • pessimus","bad • worse • worst"
"mant-","dismantle, dismantlement, manta, mantel, mantelet, mantilla, mantle","mantum",""
"mantell-","dismantle, dismantlement, manta, mantel, mantelet, mantilla, mantle","†mantellum",""
"manu-","amanuensis, Bimana, bimanous, bimanual, mainour, maintain, manacle, manage, manageable, management, managerial, mandamus, mandate, maneuver, manicure, manifer, manifest, manifestation, manifesto, maniform, maniple, manipulation, manner, manual, manuary, manubrium, manuduction, manufacture, manumission, manumit, manus, manuscript, Quadrumana, quadrumanous","manus","hand"
"manicul-","amanuensis, Bimana, bimanous, bimanual, mainour, maintain, manacle, manage, manageable, management, managerial, mandamus, mandate, maneuver, manicure, manifer, manifest, manifestation, manifesto, maniform, maniple, manipulation, manner, manual, manuary, manubrium, manuduction, manufacture, manumission, manumit, manus, manuscript, Quadrumana, quadrumanous","†manicula","hand"
"mar-","marinade, marinate, marine, mariner, maritime, submarine, ultramarine","mare","sea"
"marti-","martial, Martian","Mars","Mars"
"mātr-","immaterial, material, materiality, maternal, maternity, matricide, matriculant, matriculate, matrilocal, matrimonial, matrimony, matrix, matron, matter","māter","mother"
"matur-","immature, immaturity, maturant, maturate, maturation, mature, maturescent, maturity, premature","maturus","ripe"
"medi-","antemeridian, dimidiate, dimidiation, immediacy, immediate, intermediary, intermediate, intermedio, intermezzo, mean, media, medial, median, mediant, mediation, mediator, mediatrix, mediety, medieval, mediocre, mediocrity, medium, meridian, mezzanine, postmeridian","medius","middle"
"mell-","melliferous, mellific, mellifluence, mellifluent, mellifluous, melliloquent, mellivorous","mel","honey"
"membr-","bimembral, dismember, dismemberment, member, membral, membrane, membranous, nonmember, semimembranous, transmembrane","membrum",""
"memor-","commemorate, commemoration, commemorative, immemorial, memoir, memorabilia, memorability, memorable, memorandum, memorial, memory, remember, remembrance, rememorate","memor","mindful"
"mend-","emend, emendation","menda","blemish"
"mendic-","mendicant, mendicate, mendication, mendicity","mendicus","beggar"
"ment-","comment, commentary, dementia, mental, mentality","mens","mind"
"mer-","mere","merus","pure"
"met-","mete","mēta","goal"
"milit-","militant, military, militate, militia","miles","soldier"
"mīll-","bimillennium, mile, mileage, miliarense, miliaresion, millefeuille, millefiori, millefleur, millennial, millennium, milli-, million, millionaire, millipede, milreis, multimillion, postmillennial, premillennial","mīlle","thousand"
"millēn-","bimillenary, millenarian, millenary, postmillenarian","millēnī","a thousand each"
"millēsim-","mil, millesimal","millēsimus","thousandth"
"mir-","admirable, admire, admiration, miracle, miraculous, mirative, mirativity","mirus",""
